날짜,고객ID,성별,연령대,상품카테고리,결제금액,반품여부,재구매여부
2024-01-16,C177,남,50대,화장품,109000,N,N
2024-01-16,C178,여,50대,화장품,33000,Y,N
2024-01-16,C194,여,50대,화장품,13000,N,N
2024-01-17,C028,여,20대,의류,133000,N,N
2024-01-17,C069,남,30대,의류,40000,Y,N
2024-01-17,C074,여,30대,식품,47000,N,N
2024-01-17,C080,여,30대,식품,63000,N,N
2024-01-17,C111,남,40대,가전,225000,N,N
2024-01-17,C133,남,40대,가전,108000,N,N
2024-01-17,C166,여,50대,의류,169000,N,N
2024-01-17,C191,남,50대,가전,349000,N,N
2024-01-17,C197,남,50대,화장품,99000,N,N
2024-01-17,C200,여,50대,의류,105000,N,N
2024-01-18,C033,남,20대,의류,91000,N,N
2024-01-18,C073,남,30대,의류,159000,N,N
2024-01-18,C089,남,30대,화장품,28000,N,Y
2024-01-18,C101,남,40대,식품,43000,Y,N
2024-01-18,C108,여,40대,식품,44000,N,N
2024-01-18,C120,여,40대,의류,101000,N,Y
2024-01-18,C142,여,40대,식품,66000,N,N
2024-01-18,C158,여,50대,가전,273000,N,N
2024-01-19,C006,여,20대,화장품,81000,N,N
2024-01-19,C037,남,20대,의류,71000,Y,N
2024-01-19,C061,남,30대,가전,,N,N
2024-01-19,C066,여,30대,식품,7000,N,N
2024-01-19,C132,여,40대,화장품,74000,N,N
2024-01-19,C134,여,40대,가전,98000,Y,N
2024-01-19,C154,여,50대,가전,43000,Y,N
2024-01-20,C044,여,20대,가전,229000,N,N
2024-01-20,C058,여,30대,화장품,75000,N,N
2024-01-20,C091,남,30대,의류,63000,Y,N
2024-01-20,C117,남,40대,화장품,76000,N,N
2024-01-20,C153,남,50대,식품,,Y,N
2024-01-20,C176,여,50대,가전,45000,Y,N
2024-01-20,C181,남,50대,가전,111000,N,Y
2024-01-21,C001,남,20대,의류,155000,Y,N
2024-01-21,C005,남,20대,화장품,94000,Y,N
2024-01-21,C036,여,20대,가전,345000,N,N
2024-01-21,C046,여,20대,가전,,N,Y
2024-01-21,C068,여,30대,가전,248000,N,Y
2024-01-21,C118,여,40대,의류,39000,N,N
2024-01-21,C122,여,40대,가전,237000,Y,N
2024-01-21,C156,여,50대,의류,52000,N,N
2024-01-21,C176,여,50대,화장품,52000,Y,Y
2024-01-21,C187,남,50대,가전,179000,Y,N
2024-01-21,C194,여,50대,식품,41000,N,N
2024-01-22,C010,여,20대,식품,62000,N,N
2024-01-22,C014,여,20대,화장품,32000,N,Y
2024-01-22,C056,여,30대,의류,116000,N,N
2024-01-22,C070,여,30대,화장품,19000,N,N
2024-01-22,C112,여,40대,가전,195000,N,N
2024-01-22,C142,여,40대,식품,21000,N,N
2024-01-22,C167,남,50대,가전,263000,N,N
2024-01-22,C172,여,50대,의류,115000,N,N
2024-01-22,C189,남,50대,가전,107000,N,N
2024-01-23,C017,남,20대,가전,225000,N,N
2024-01-23,C028,여,20대,식품,47000,Y,N
2024-01-23,C029,남,20대,가전,251000,N,N
2024-01-23,C050,여,20대,가전,146000,N,N
2024-01-23,C051,남,30대,화장품,103000,Y,N
2024-01-23,C082,여,30대,가전,101000,N,N
2024-01-23,C102,여,40대,도서,11000,N,N
2024-01-23,C110,여,40대,식품,65000,N,N
2024-01-23,C113,남,40대,화장품,47000,N,N
2024-01-23,C129,남,40대,화장품,97000,N,Y
2024-01-23,C143,남,40대,의류,75000,Y,N
2024-01-23,C167,남,50대,화장품,20000,N,N
2024-01-23,C177,남,50대,의류,71000,Y,N
2024-01-23,C182,여,50대,의류,102000,Y,N
2024-01-24,C014,여,20대,가전,166000,N,Y
2024-01-24,C021,남,20대,식품,18000,N,N
2024-01-24,C041,남,20대,가전,299000,Y,N
2024-01-24,C137,남,40대,가전,334000,N,Y
2024-01-24,C138,여,40대,식품,50000,N,Y
2024-01-24,C165,남,50대,식품,70000,N,N
2024-01-25,C002,여,20대,화장품,74000,N,N
2024-01-25,C021,남,20대,가전,200000,Y,N
2024-01-25,C030,여,20대,도서,32000,N,N
2024-01-25,C092,여,30대,도서,18000,N,N
2024-01-25,C128,여,40대,가전,212000,N,N
2024-01-25,C171,남,50대,가전,235000,N,N
2024-01-25,C192,여,50대,가전,318000,N,N
2024-01-26,C020,여,20대,화장품,36000,N,Y
2024-01-26,C055,남,30대,의류,44000,Y,N
2024-01-26,C064,여,30대,화장품,12000,N,Y
2024-01-26,C084,여,30대,의류,70000,N,Y
2024-01-26,C089,남,30대,도서,22000,N,N
2024-01-26,C108,여,40대,도서,27000,N,Y
2024-01-26,C112,여,40대,가전,101000,N,N
2024-01-26,C118,여,40대,가전,38000,Y,N
2024-01-26,C178,여,50대,화장품,89000,N,Y
2024-01-26,C183,남,50대,식품,31000,N,N
2024-01-26,C185,남,50대,가전,222000,N,Y
2024-01-27,C022,여,20대,의류,50000,N,N
2024-01-27,C043,남,20대,화장품,42000,N,N
2024-01-27,C067,남,30대,의류,,N,N
2024-01-27,C090,여,30대,의류,80000,Y,N
2024-01-27,C105,남,40대,가전,172000,N,N
2024-01-27,C159,남,50대,식품,68000,N,N
2024-01-27,C186,여,50대,식품,36000,N,Y
2024-01-28,C008,여,20대,식품,59000,N,N
2024-01-28,C059,남,30대,가전,115000,N,N
2024-01-28,C156,여,50대,가전,229000,N,N
2024-01-29,C003,남,20대,식품,67000,N,N
2024-01-29,C007,남,20대,도서,17000,N,N
2024-01-29,C020,여,20대,화장품,65000,Y,N
2024-01-29,C032,여,20대,의류,46000,N,N
2024-01-29,C061,남,30대,화장품,24000,Y,N
2024-01-29,C077,남,30대,가전,260000,N,N
2024-01-29,C079,남,30대,가전,104000,Y,N
2024-01-29,C082,여,30대,의류,177000,N,Y
2024-01-29,C169,남,50대,화장품,90000,N,N
2024-01-29,C173,남,50대,화장품,32000,N,N
2024-01-29,C184,여,50대,가전,86000,N,N
2024-01-30,C004,여,20대,의류,153000,N,N
2024-01-30,C005,남,20대,화장품,103000,N,N
2024-01-30,C018,여,20대,가전,109000,N,N
2024-01-30,C039,남,20대,도서,9000,N,N
2024-01-30,C090,여,30대,의류,67000,Y,Y
2024-01-30,C096,여,30대,가전,272000,N,N
2024-01-30,C103,남,40대,가전,102000,N,N
2024-01-30,C106,여,40대,의류,62000,Y,N
2024-01-30,C111,남,40대,가전,301000,N,N
2024-01-30,C113,남,40대,의류,179000,N,N
2024-01-30,C119,남,40대,의류,136000,Y,N
2024-01-30,C125,남,40대,의류,118000,N,N
2024-01-30,C130,여,40대,가전,190000,N,N
2024-01-30,C180,여,50대,가전,238000,N,N
2024-01-30,C189,남,50대,도서,11000,N,N
2024-01-31,C022,여,20대,식품,57000,N,N
2024-01-31,C087,남,30대,식품,7000,N,Y
2024-01-31,C104,여,40대,도서,31000,N,N
2024-01-31,C131,남,40대,도서,31000,N,N
2024-02-01,C010,여,20대,화장품,53000,N,N
2024-02-01,C019,남,20대,의류,,N,N
2024-02-01,C026,여,20대,의류,51000,N,N
2024-02-01,C036,여,20대,식품,44000,N,N
2024-02-01,C046,여,20대,가전,133000,N,N
2024-02-01,C084,여,30대,식품,10000,N,Y
2024-02-01,C087,남,30대,가전,115000,N,N
2024-02-01,C097,남,30대,가전,346000,N,N
2024-02-01,C113,남,40대,식품,53000,N,Y
2024-02-01,C122,여,40대,화장품,90000,N,Y
2024-02-01,C122,여,40대,의류,30000,N,N
2024-02-01,C137,남,40대,가전,105000,Y,Y
2024-02-01,C199,남,50대,의류,123000,N,Y
2024-02-02,C009,남,20대,의류,148000,N,Y
2024-02-02,C030,여,20대,화장품,60000,N,Y
2024-02-02,C039,남,20대,의류,133000,N,Y
2024-02-02,C056,여,30대,식품,64000,N,N
2024-02-02,C101,남,40대,식품,42000,N,N
2024-02-02,C131,남,40대,화장품,92000,N,N
2024-02-02,C150,여,40대,가전,342000,N,Y
2024-02-02,C151,남,50대,화장품,93000,Y,Y
2024-02-02,C172,여,50대,의류,48000,N,N
2024-02-02,C186,여,50대,식품,25000,N,N
2024-02-02,C195,남,50대,의류,164000,Y,N
2024-02-02,C195,남,50대,화장품,34000,N,Y
2024-02-03,C004,여,20대,가전,167000,N,N
2024-02-03,C022,여,20대,식품,45000,N,Y
2024-02-03,C045,남,20대,가전,82000,N,N
2024-02-03,C080,여,30대,식품,41000,N,Y
2024-02-03,C090,여,30대,화장품,45000,Y,Y
2024-02-03,C106,여,40대,가전,264000,N,Y
2024-02-03,C107,남,40대,의류,33000,Y,N
2024-02-03,C158,여,50대,가전,142000,N,N
2024-02-03,C188,여,50대,가전,83000,N,Y
2024-02-04,C038,여,20대,가전,77000,N,N
2024-02-04,C069,남,30대,화장품,26000,Y,N
2024-02-04,C081,남,30대,의류,87000,N,N
2024-02-04,C100,여,30대,도서,26000,N,N
2024-02-04,C116,여,40대,의류,,N,Y
2024-02-04,C143,남,40대,화장품,51000,N,N
2024-02-04,C168,여,50대,가전,100000,N,N
2024-02-04,C193,남,50대,식품,33000,N,N
2024-02-04,C194,여,50대,가전,228000,N,N
2024-02-05,C032,여,20대,가전,322000,Y,Y
2024-02-05,C041,남,20대,의류,38000,Y,Y
2024-02-05,C100,여,30대,가전,131000,Y,Y
2024-02-05,C169,남,50대,가전,338000,N,N
2024-02-05,C180,여,50대,의류,20000,Y,Y
2024-02-05,C181,남,50대,화장품,14000,N,N
2024-02-05,C200,여,50대,식품,69000,N,N
2024-02-06,C029,남,20대,가전,268000,N,Y
2024-02-06,C040,여,20대,의류,176000,N,N
2024-02-06,C060,여,30대,화장품,90000,N,N
2024-02-06,C130,여,40대,가전,203000,N,Y
2024-02-06,C159,남,50대,식품,10000,N,N
2024-02-06,C166,여,50대,의류,177000,N,N
2024-02-06,C168,여,50대,의류,78000,N,Y
2024-02-06,C170,여,50대,의류,177000,N,N
2024-02-06,C171,남,50대,식품,14000,Y,Y
2024-02-06,C171,남,50대,가전,288000,N,N
2024-02-06,C174,여,50대,의류,125000,Y,N
2024-02-06,C177,남,50대,도서,20000,N,N
2024-02-06,C182,여,50대,도서,12000,N,Y
2024-02-07,C007,남,20대,식품,14000,N,N
2024-02-07,C025,남,20대,의류,148000,Y,Y
2024-02-07,C040,여,20대,가전,76000,N,N
2024-02-07,C089,남,30대,식품,12000,Y,Y
2024-02-07,C097,남,30대,가전,276000,Y,N
2024-02-07,C113,남,40대,도서,22000,N,N
2024-02-07,C120,여,40대,화장품,12000,N,Y
2024-02-07,C125,남,40대,식품,55000,Y,Y
2024-02-07,C129,남,40대,도서,21000,N,Y
2024-02-07,C142,여,40대,의류,21000,N,N
2024-02-07,C148,여,40대,가전,119000,N,Y
2024-02-07,C153,남,50대,가전,296000,N,Y
2024-02-08,C004,여,20대,가전,294000,N,Y
2024-02-08,C018,여,20대,화장품,95000,Y,N
2024-02-08,C036,여,20대,화장품,100000,N,N
2024-02-08,C043,남,20대,화장품,53000,N,Y
2024-02-08,C063,남,30대,가전,110000,N,N
2024-02-08,C085,남,30대,식품,61000,N,N
2024-02-08,C098,여,30대,도서,15000,N,Y
2024-02-08,C117,남,40대,화장품,36000,N,N
2024-02-08,C126,여,40대,가전,,N,Y
2024-02-08,C141,남,40대,도서,11000,Y,N
2024-02-08,C145,남,40대,의류,100000,N,N
2024-02-08,C154,여,50대,식품,50000,N,N
2024-02-08,C178,여,50대,식품,8000,N,N
2024-02-09,C002,여,20대,가전,64000,Y,N
2024-02-09,C031,남,20대,화장품,96000,N,N
2024-02-09,C041,남,20대,가전,46000,Y,N
2024-02-09,C072,여,30대,가전,83000,N,N
2024-02-09,C082,여,30대,식품,60000,N,Y
2024-02-09,C087,남,30대,의류,47000,N,Y
2024-02-09,C093,남,30대,도서,32000,N,N
2024-02-09,C107,남,40대,도서,11000,N,N
2024-02-09,C121,남,40대,가전,255000,N,N
2024-02-09,C147,남,40대,화장품,52000,Y,N
2024-02-09,C148,여,40대,의류,52000,N,N
2024-02-09,C175,남,50대,가전,347000,N,N
2024-02-10,C009,남,20대,가전,123000,N,N
2024-02-10,C012,여,20대,가전,100000,Y,Y
2024-02-10,C098,여,30대,화장품,93000,N,Y
2024-02-10,C115,남,40대,가전,342000,N,N
2024-02-10,C118,여,40대,식품,32000,N,N
2024-02-10,C137,남,40대,화장품,100000,N,N
2024-02-10,C154,여,50대,화장품,68000,N,Y
2024-02-10,C160,여,50대,의류,168000,N,N
2024-02-10,C161,남,50대,식품,48000,N,N
2024-02-10,C163,남,50대,식품,48000,N,N
2024-02-10,C178,여,50대,가전,201000,Y,N
2024-02-10,C181,남,50대,도서,27000,N,N
2024-02-11,C017,남,20대,화장품,72000,Y,N
2024-02-11,C018,여,20대,가전,342000,Y,Y
2024-02-11,C086,여,30대,의류,89000,N,Y
2024-02-11,C090,여,30대,화장품,108000,N,Y
2024-02-11,C153,남,50대,식품,42000,N,N
2024-02-11,C189,남,50대,식품,34000,Y,N
2024-02-12,C002,여,20대,가전,334000,N,Y
2024-02-12,C020,여,20대,가전,115000,N,Y
2024-02-12,C053,남,30대,가전,276000,Y,N
2024-02-12,C089,남,30대,화장품,75000,N,Y
2024-02-12,C115,남,40대,의류,32000,N,Y
2024-02-12,C124,여,40대,의류,133000,Y,N
2024-02-12,C125,남,40대,식품,21000,N,Y
2024-02-12,C128,여,40대,가전,309000,N,N
2024-02-12,C144,여,40대,화장품,37000,N,N
2024-02-13,C003,남,20대,화장품,62000,Y,N
2024-02-13,C033,남,20대,화장품,46000,N,N
2024-02-13,C062,여,30대,도서,15000,N,Y
2024-02-13,C079,남,30대,의류,,N,N
2024-02-13,C102,여,40대,화장품,25000,N,Y
2024-02-13,C111,남,40대,화장품,54000,N,N
2024-02-13,C114,여,40대,의류,55000,N,N
2024-02-13,C162,여,50대,의류,58000,Y,N
2024-02-13,C170,여,50대,식품,46000,N,N
2024-02-14,C001,남,20대,의류,163000,Y,Y
2024-02-14,C014,여,20대,의류,65000,Y,Y
2024-02-14,C020,여,20대,식품,33000,N,Y
2024-02-14,C050,여,20대,가전,208000,N,N
2024-02-14,C061,남,30대,의류,74000,N,Y
2024-02-14,C089,남,30대,가전,276000,N,N
2024-02-14,C134,여,40대,화장품,76000,N,N
2024-02-14,C144,여,40대,의류,153000,N,Y
2024-02-14,C160,여,50대,가전,185000,Y,Y
2024-02-14,C184,여,50대,식품,42000,Y,N
2024-02-15,C028,여,20대,가전,165000,N,Y
2024-02-15,C053,남,30대,가전,310000,N,N
2024-02-15,C054,여,30대,의류,147000,N,N
2024-02-15,C058,여,30대,식품,7000,N,Y
2024-02-15,C067,남,30대,의류,63000,N,N
2024-02-15,C092,여,30대,의류,88000,Y,N
2024-02-15,C120,여,40대,식품,30000,N,Y
2024-02-15,C140,여,40대,가전,308000,N,Y
2024-02-15,C144,여,40대,가전,,Y,Y
2024-02-15,C197,남,50대,가전,304000,N,N
2024-02-16,C033,남,20대,식품,27000,N,N
2024-02-16,C047,남,20대,도서,10000,N,N
2024-02-16,C069,남,30대,식품,51000,N,N
2024-02-16,C086,여,30대,가전,124000,N,Y
2024-02-16,C143,남,40대,가전,200000,N,N
2024-02-16,C149,남,40대,식품,32000,N,N
2024-02-16,C156,여,50대,가전,164000,N,N
2024-02-16,C170,여,50대,가전,319000,N,Y
2024-02-16,C173,남,50대,가전,211000,N,Y
2024-02-17,C001,남,20대,의류,38000,N,Y
2024-02-17,C019,남,20대,식품,34000,N,N
2024-02-17,C025,남,20대,도서,18000,N,N
2024-02-17,C054,여,30대,식품,42000,N,Y
2024-02-17,C061,남,30대,도서,25000,N,N
2024-02-17,C114,여,40대,의류,67000,N,Y
2024-02-17,C121,남,40대,의류,102000,N,N
2024-02-17,C127,남,40대,가전,253000,N,N
2024-02-17,C151,남,50대,식품,24000,N,N
2024-02-17,C155,남,50대,의류,115000,N,N
2024-02-17,C158,여,50대,식품,,N,Y
2024-02-17,C196,여,50대,화장품,71000,N,N
2024-02-18,C024,여,20대,가전,133000,N,Y
2024-02-18,C043,남,20대,화장품,87000,N,N
2024-02-18,C052,여,30대,도서,16000,N,Y
2024-02-18,C065,남,30대,화장품,61000,N,Y
2024-02-18,C116,여,40대,의류,166000,N,N
2024-02-18,C145,남,40대,식품,39000,N,N
2024-02-18,C165,남,50대,의류,49000,Y,Y
2024-02-19,C055,남,30대,식품,40000,N,N
2024-02-19,C060,여,30대,의류,,N,N
2024-02-19,C064,여,30대,의류,158000,N,Y
2024-02-19,C078,여,30대,가전,44000,Y,N
2024-02-19,C125,남,40대,가전,162000,N,Y
2024-02-19,C132,여,40대,식품,53000,N,Y
2024-02-19,C133,남,40대,의류,166000,N,N
2024-02-20,C010,여,20대,의류,92000,Y,Y
2024-02-20,C023,남,20대,가전,55000,N,N
2024-02-20,C093,남,30대,식품,55000,N,N
2024-02-20,C109,남,40대,가전,190000,N,Y
2024-02-20,C112,여,40대,식품,67000,N,Y
2024-02-20,C124,여,40대,가전,83000,N,Y
2024-02-20,C131,남,40대,식품,27000,N,Y
2024-02-20,C176,여,50대,가전,249000,N,N
2024-02-20,C182,여,50대,화장품,48000,Y,Y
2024-02-20,C192,여,50대,가전,158000,N,Y
2024-02-20,C198,여,50대,가전,,N,Y
2024-02-21,C021,남,20대,식품,48000,N,N
2024-02-21,C029,남,20대,식품,56000,N,N
2024-02-21,C031,남,20대,의류,110000,Y,Y
2024-02-21,C034,여,20대,의류,51000,N,N
2024-02-21,C044,여,20대,화장품,113000,N,N
2024-02-21,C049,남,20대,의류,91000,Y,N
2024-02-21,C052,여,30대,도서,31000,N,Y
2024-02-21,C056,여,30대,가전,82000,N,Y
2024-02-21,C070,여,30대,의류,179000,Y,Y
2024-02-21,C070,여,30대,가전,213000,N,N
2024-02-21,C076,여,30대,도서,19000,N,Y
2024-02-21,C083,남,30대,의류,71000,Y,N
2024-02-21,C103,남,40대,의류,146000,N,Y
2024-02-21,C104,여,40대,의류,61000,N,N
2024-02-21,C135,남,40대,화장품,79000,N,Y
2024-02-22,C007,남,20대,의류,34000,Y,Y
2024-02-22,C011,남,20대,도서,,N,N
2024-02-22,C021,남,20대,화장품,76000,N,Y
2024-02-22,C038,여,20대,가전,126000,N,Y
2024-02-22,C051,남,30대,의류,136000,N,Y
2024-02-22,C068,여,30대,가전,218000,N,N
2024-02-22,C075,남,30대,의류,128000,N,N
2024-02-22,C091,남,30대,식품,14000,N,Y
2024-02-22,C127,남,40대,화장품,65000,N,Y
2024-02-22,C185,남,50대,의류,36000,N,N
2024-02-22,C199,남,50대,식품,33000,N,Y
2024-02-23,C035,남,20대,식품,53000,N,Y
2024-02-23,C037,남,20대,화장품,86000,N,N
2024-02-23,C046,여,20대,가전,32000,N,Y
2024-02-23,C048,여,20대,도서,28000,N,N
2024-02-23,C049,남,20대,가전,242000,Y,Y
2024-02-23,C051,남,30대,화장품,57000,N,Y
2024-02-23,C066,여,30대,의류,170000,N,Y
2024-02-23,C096,여,30대,의류,39000,Y,Y
2024-02-23,C128,여,40대,가전,236000,N,Y
2024-02-23,C146,여,40대,의류,176000,Y,Y
2024-02-23,C156,여,50대,식품,57000,N,N
2024-02-23,C183,남,50대,가전,262000,N,N
2024-02-23,C193,남,50대,의류,169000,N,N
2024-02-24,C006,여,20대,화장품,70000,N,N
2024-02-24,C026,여,20대,의류,170000,N,Y
2024-02-24,C057,남,30대,식품,9000,N,Y
2024-02-24,C108,여,40대,화장품,59000,N,N
2024-02-24,C112,여,40대,가전,101000,N,Y
2024-02-24,C129,남,40대,의류,53000,Y,N
2024-02-24,C131,남,40대,가전,220000,N,N
2024-02-24,C138,여,40대,화장품,17000,N,N
2024-02-24,C140,여,40대,의류,128000,Y,Y
2024-02-24,C150,여,40대,도서,26000,N,N
2024-02-24,C152,여,50대,식품,20000,N,Y
2024-02-24,C168,여,50대,식품,26000,N,N
2024-02-25,C016,여,20대,식품,20000,N,Y
2024-02-25,C069,남,30대,의류,84000,N,Y
2024-02-25,C070,여,30대,가전,101000,N,N
2024-02-25,C072,여,30대,가전,227000,N,N
2024-02-25,C074,여,30대,의류,118000,N,N
2024-02-25,C077,남,30대,화장품,83000,N,N
2024-02-25,C094,여,30대,가전,327000,N,Y
2024-02-25,C106,여,40대,화장품,22000,N,Y
2024-02-25,C110,여,40대,가전,199000,N,N
2024-02-25,C111,남,40대,의류,112000,N,Y
2024-02-25,C191,남,50대,의류,46000,N,N
2024-02-26,C005,남,20대,가전,75000,N,N
2024-02-26,C014,여,20대,가전,145000,N,Y
2024-02-26,C016,여,20대,화장품,76000,Y,Y
2024-02-26,C073,남,30대,도서,29000,N,N
2024-02-26,C077,남,30대,도서,32000,N,Y
2024-02-26,C087,남,30대,화장품,70000,N,N
2024-02-26,C094,여,30대,의류,60000,N,N
2024-02-26,C102,여,40대,화장품,,N,Y
2024-02-26,C119,남,40대,의류,140000,N,N
2024-02-26,C123,남,40대,도서,9000,N,N
2024-02-26,C129,남,40대,가전,138000,N,N
2024-02-26,C177,남,50대,의류,168000,Y,N
2024-02-26,C179,남,50대,도서,19000,N,N
2024-02-27,C006,여,20대,도서,24000,N,Y
2024-02-27,C015,남,20대,가전,270000,Y,N
2024-02-27,C027,남,20대,의류,90000,Y,Y
2024-02-27,C039,남,20대,의류,45000,N,Y
2024-02-27,C064,여,30대,가전,305000,N,N
2024-02-27,C078,여,30대,가전,103000,Y,N
2024-02-27,C130,여,40대,가전,210000,N,N
2024-02-27,C135,남,40대,의류,109000,N,N
2024-02-27,C138,여,40대,가전,53000,N,Y
2024-02-27,C177,남,50대,가전,150000,N,Y
2024-02-27,C183,남,50대,가전,80000,N,N
2024-02-27,C187,남,50대,의류,75000,N,N
2024-02-28,C023,남,20대,가전,194000,N,N
2024-02-28,C046,여,20대,가전,309000,N,Y
2024-02-28,C095,남,30대,가전,241000,N,N
2024-02-28,C105,남,40대,가전,44000,N,N
